"","x"
"2287",1.0525207558852
"2300",1.04387461959177
"2313",1.03681313758779
"2326",1.03001182992267
"2339",1.02412418857117
"2352",1.0194435041736
"2365",1.01481518637183
"2378",1.01274572236478
"2391",1.01194823212186
"2404",1.01107215482907
"2417",1.01125745104708
"2430",1.01414034776444
"2443",1.01870336651805
"2456",1.02466927755701
"2469",1.03136177785469
"2482",1.03641251659294
"2495",1.04156998178321
"2508",1.04761951133577
"2521",1.05419868909309
"2534",1.06091581136947
"2547",1.06891159111572
"2560",1.07763803024826
"2573",1.08586660505185
"2586",1.09354522196079
"2599",1.1037739590095
"2612",1.11219623829224
"2625",1.1186135340899
"2638",1.1284166875844
"2651",1.14046504967602
"2664",1.15043595166171
"2677",1.1632285045286
"2690",1.17886550055613
"2703",1.19475519376079
"2716",1.20867483272431
"2729",1.22456525383621
"2742",1.2383611347628
"2755",1.25134500295193
"2768",1.26233038893688
"2781",1.27283348860272
"2794",1.2841327260758
"2807",1.29899438776695
"2820",1.31122382457566
"2833",1.31832032111492
"2846",1.32164889669125
"2859",1.32503401801206
"2872",1.32634953947869
"2885",1.32985681904848
"2898",1.33718021243322
"2911",1.34596241901546
"2924",1.35191757688114
"2937",1.35388154249386
"2950",1.34682962184048
"2963",1.33959497495964
"2976",1.32866928774756
"2989",1.3173308787805
"3002",1.30847398439407
"3015",1.29636898572334
"3028",1.28431484881391
"3041",1.27621877283368
"3054",1.26802829559358
"3067",1.25991509371494
"3080",1.25186459213241
"3093",1.24469881610063
"3106",1.2372792180958
"3119",1.23298746624863
"3132",1.22768776191547
"3145",1.22310576410354
"3158",1.21757340168937
"3171",1.21766987702996
"3184",1.21882565343007
"3197",1.21333049088636
"3210",1.20782864448959
"3223",1.20198674523707
"3236",1.19454505736918
"3249",1.18435588815061
"3262",1.17440187144013
"3275",1.16511117920797
"3288",1.15793368843806
"3301",1.15186791901491
"3314",1.14578002468253
"3327",1.13914505002318
"3340",1.13216720535694
"3353",1.1285393186548
"3366",1.12614271841288
"3379",1.12298175228231
"3392",1.1201936195532
"3405",1.12131058978295
"3418",1.12021285937997
"3431",1.11674180741144
"3444",1.11293420520063
"3457",1.11019397853028
"3470",1.10724218455856
"3483",1.10352151029372
"3496",1.10090466175395
"3509",1.09939116647762
"3522",1.09884725155375
"3535",1.09738667406002
"3548",1.09562077327291
"3561",1.09366146430201
"3574",1.09231643514903
"3587",1.09088387356511
"3600",1.09015861002772
"3613",1.09049701740834
"3626",1.09241015993187
"3639",1.09405167977566
"3652",1.09468858252184
"3665",1.09529259434636
"3678",1.09693866382451
"3691",1.09759362491646
"3704",1.09822263330053
"3717",1.09992214922744
"3730",1.10125537159614
"3743",1.10247228184543
"3756",1.10406076222277
"3769",1.10640616597288
"3782",1.10823683926536
"3795",1.10952594685521
"3808",1.11017423308614
"3821",1.11067726200502
"3834",1.11078661228001
"3847",1.11124934527863
