"","x"
"2651",1.36454327595597
"2664",1.35851085427034
"2677",1.35462463616693
"2690",1.36465133552502
"2703",1.3665464701869
"2716",1.36646656534049
"2729",1.36905001211502
"2742",1.3806613416504
"2755",1.39410656525171
"2768",1.40195967879236
"2781",1.40239116932118
"2794",1.3950511501739
"2807",1.38841837582419
"2820",1.3767062530066
"2833",1.36515288623826
"2846",1.35335376144579
"2859",1.34202995804753
"2872",1.33282389613949
"2885",1.32267556709556
"2898",1.31794990698437
"2911",1.31095748195065
"2924",1.31388976814971
"2937",1.31612879189072
"2950",1.31889641129368
"2963",1.3231855003363
"2976",1.3269404503073
"2989",1.33212082260499
"3002",1.33870359869432
"3015",1.34142512718806
"3028",1.34065858440704
"3041",1.33250543571092
"3054",1.32104136073612
"3067",1.30824400907386
"3080",1.29421867248221
"3093",1.28428228191893
"3106",1.27648532862813
"3119",1.26822930954918
"3132",1.25572236271502
"3145",1.25815586859302
"3158",1.25727846965422
"3171",1.25469893127977
"3184",1.24528615436685
"3197",1.23563874077209
"3210",1.22372864116478
"3223",1.21662923312848
"3236",1.21084741817328
"3249",1.20935375132524
"3262",1.20948291667678
"3275",1.21017782383863
"3288",1.20672145225541
"3301",1.20720658963977
"3314",1.20476936134866
"3327",1.203329557717
"3340",1.19726689525339
"3353",1.19158408807346
"3366",1.18493487151619
"3379",1.18145204278933
"3392",1.1784994580183
"3405",1.17353357842534
"3418",1.17269392497233
"3431",1.16909173587595
"3444",1.16819268780893
"3457",1.1643784481446
"3470",1.1594108940823
"3483",1.1568002509399
"3496",1.15016275653573
"3509",1.14672161919549
"3522",1.14472028661617
"3535",1.14122669792853
"3548",1.13811672477563
"3561",1.13310578026915
"3574",1.13282243695037
"3587",1.13002046013544
"3600",1.12546507511245
"3613",1.12196539430658
"3626",1.11861421227398
"3639",1.11362872943641
"3652",1.11383064132348
"3665",1.11322804249368
"3678",1.11049992281363
"3691",1.10871416506671
"3704",1.10815817457983
"3717",1.10937675163094
"3730",1.10994806882531
"3743",1.10764825461848
"3756",1.10453284774072
"3769",1.10203221600892
"3782",1.10097183827699
"3795",1.09952057475422
"3808",1.09824071124574
"3821",1.09779849318109
"3834",1.09457369236337
"3847",1.09034435082388
