-27977,-27905,-27851
-27978,-27903,-27854
-27978,-27900,-27852
-27978,-27895,-27847
-27975,-27888,-27858
-27973,-27887,-27850
-27966,-27887,-27844
-27963,-27886,-27829
-27956,-27886,-27830
-27956,-27884,-27832
-27958,-27882,-27827
-27956,-27882,-27827
-27959,-27878,-27819
-27861,-27880,-27819
-27859,-27877,-27817
-27861,-27871,-27817
-27861,-27882,-27815
-27864,-27873,-27848
-27865,-27880,-27816
-27862,-27876,-27816
-27862,-27877,-27813
-27862,-27879,-27814
-27858,-27879,-27815
-27851,-27882,-27812
-27855,-27870,-27811
-27852,-27872,-27810
-27849,-27868,-27810
-27848,-27866,-27807
-27847,-27869,-27810
-27848,-27867,-27802
-27848,-27863,-27796
-27848,-27862,-27797
-27849,-27863,-27793
-27846,-27864,-27792
-27842,-27862,-27781
-27836,-27863,-27780
-27835,-27861,-27778
-27813,-27838,-27778
-27819,-27834,-27777
-27813,-27832,-27775
-27809,-27831,-27767
-27803,-27828,-27766
-27833,-27826,-27766
-27833,-27840,-27766
-27833,-27835,-27766
-27830,-27836,-27765
-27803,-27835,-27765
-27797,-27829,-27744
-27798,-27829,-27746
-27793,-27826,-27747
-27792,-27815,-27767
-27789,-27815,-27756
-27785,-27815,-27766
-27785,-27816,-27758
-27772,-27817,-27763
-27772,-27814,-27754
-27773,-27815,-27761
-27773,-27789,-27761
-27796,-27792,-27756
-27797,-27792,-27760
-27793,-27792,-27761
-27795,-27791,-27757
-27792,-27793,-27755
-27792,-27792,-27757
-27792,-27788,-27756
-27791,-27776,-27756
-27791,-27776,-27755
-27789,-27776,-27761
-27783,-27797,-27762
-27783,-27794,-27758
-27782,-27793,-27754
-27783,-27791,-27759
-27778,-27791,-27754
-27768,-27781,-27752
-27764,-27772,-27751
-27764,-27772,-27747
-27761,-27798,-27741
-27761,-27799,-27721
-27759,-27768,-27718
-27760,-27779,-27714
-27759,-27777,-27709
-27759,-27774,-27705
-27734,-27764,-27695
-27732,-27756,-27692
-27727,-27761,-27691
-27727,-27776,-27694
-27727,-27774,-27695
-27725,-27767,-27696
-27713,-27757,-27691
-27714,-27753,-27689
-27714,-27762,-27692
-27712,-27760,-27692
-27712,-27738,-27689
-27714,-27731,-27684
-27708,-27729,-27683
-27705,-27733,-27686
-27706,-27732,-27682
-27699,-27735,-27682
-27723,-27733,-27678
-27719,-27733,-27679
-27711,-27732,-27678
-27710,-27722,-27671
-27726,-27728,-27673
-27704,-27727,-27674
-27704,-27742,-27673
-27706,-27742,-27680
-27709,-27743,-27675
-27706,-27742,-27654
-27712,-27742,-27654
-27710,-27741,-27652
-27702,-27740,-27650
-27699,-27736,-27659
-27695,-27727,-27657
-27695,-27732,-27661
-27699,-27741,-27659
-27693,-27741,-27662
-27691,-27736,-27659
-27693,-27734,-27656
-27692,-27734,-27653
-27690,-27720,-27655
-27689,-27700,-27653
-27687,-27709,-27653
-27685,-27704,-27656
-27675,-27711,-27656
-27675,-27712,-27652
-27673,-27714,-27644
-27674,-27706,-27643
-27673,-27708,-27643
-27671,-27682,-27641
-27671,-27679,-27640
-27672,-27681,-27641
-27668,-27684,-27641
-27668,-27683,-27640
-27667,-27685,-27642
-27667,-27688,-27638
-27670,-27687,-27637
-27661,-27688,-27637
-27661,-27688,-27638
-27659,-27688,-27636
-27660,-27713,-27635
-27664,-27702,-27635
-27662,-27698,-27628
-27661,-27698,-27627
-27662,-27706,-27639
-27661,-27704,-27611
-27663,-27697,-27614
-27664,-27695,-27613
-27663,-27690,-27613
-27662,-27687,-27608
-27665,-27682,-27609
-27664,-27701,-27608
-27662,-27700,-27606
-27666,-27696,-27606
-27664,-27698,-27609
-27662,-27696,-27614
-27660,-27694,-27613
-27655,-27695,-27610
-27648,-27679,-27610
-27649,-27678,-27610
