"","x"
"2671",1.00214302216478
"2691",1.00238594565212
"2711",1.00284139280115
"2731",1.00263150862532
"2751",1.00285268542601
"2771",1.00312363398815
"2791",1.00281096462214
"2811",1.00314562567189
"2831",1.00347265389471
"2851",1.0036962040628
"2871",1.00361161587801
"2891",1.00403734041945
"2911",1.00386992391457
"2931",1.00347210042525
"2951",1.00342336022366
"2971",1.00394711541289
"2991",1.00460572888743
"3011",1.00425723481701
"3031",1.004305009041
"3051",1.00531549555839
"3071",1.00571710679541
"3091",1.00631898445216
"3111",1.00682945257953
"3131",1.00683544772253
"3151",1.00805104068759
"3171",1.00759420838267
"3191",1.00790171944327
"3211",1.00850058170663
"3231",1.00999018902021
"3251",1.00984945624561
"3271",1.00835993649722
"3291",1.00870606146491
"3311",1.00943573998032
"3331",1.0102033172965
"3351",1.01025985664073
"3371",1.01028970520057
"3391",1.01061468176324
"3411",1.01002104147245
"3431",1.0105215614832
"3451",1.01046602354723
"3471",1.01029110614386
"3491",1.01041551264287
"3511",1.01113550975188
"3531",1.01017756315693
"3551",1.00871854592358
"3571",1.00727530358864
"3591",1.00670035061747
"3611",1.00611673210169
"3631",1.00549651993051
"3651",1.00571231634865
"3671",1.00590733877662
"3691",1.00568783615787
"3711",1.00507225387115
"3731",1.00493349841567
"3751",1.00390033035529
"3771",1.00377127711964
"3791",1.00388233493907
"3811",1.0032771343268
"3831",1.00322799458982
"3851",1.00364486961719
"3871",1.00409980920139
"3891",1.00506980174516
"3911",1.00532492686066
"3931",1.00545892244046
"3951",1.00812537165209
"3971",1.01002242929613
"3991",1.00972771461494
"4011",1.00904639088631
"4031",1.00820946886737
"4051",1.00774421123547
"4071",1.00692939454532
"4091",1.00657576906576
"4111",1.00680755879366
"4131",1.00648124247131
"4151",1.00633014743547
"4171",1.00624413846039
"4191",1.00602011438813
"4211",1.00613225855107
"4231",1.00605193443031
"4251",1.00644239954803
"4271",1.00640386845464
"4291",1.00542302411346
"4311",1.00526388848616
"4331",1.00579815814184
"4351",1.00562157818696
"4371",1.00540129865293
"4391",1.00575326397187
"4411",1.0053549367104
"4431",1.00531998145502
"4451",1.0058943497727
"4471",1.0063223428196
"4491",1.00610637098779
"4511",1.00586036651297
"4531",1.0057236409804
"4551",1.00608518976996
"4571",1.00612221522501
"4591",1.0059638306432
"4611",1.00583146609028
"4631",1.00623035320836
"4651",1.00623659552304
"4671",1.00607788398928
"4691",1.00583681853563
"4711",1.00556081950429
"4731",1.0054013926516
"4751",1.00538645163201
"4771",1.00513981382098
"4791",1.00456065376817
"4811",1.00418560309718
"4831",1.00419309496632
"4851",1.00419742986601
"4871",1.00390194205959
"4891",1.00383365815393
"4911",1.0038529873905
"4931",1.00404182211944
"4951",1.00419860419032
"4971",1.00386601733964
"4991",1.00379627101308
"5011",1.00369561440911
"5031",1.0038415744108
"5051",1.00374978731684
"5071",1.0035749891671
"5091",1.00358571916659
"5111",1.00357569076509
"5131",1.00370302634334
"5151",1.00345576756288
"5171",1.00344389030706
"5191",1.00331446355775
