"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563"
"CATMA3a23235",8.346230232,8.518239352,8.278875445,8.455690958,8.270138675,8.300427213,8.308766714,8.676196708,9.089247245,8.973274223,10.21923898,10.44059682,11.1459194,10.8496554,10.5821404,10.9905289,10.39981656,9.821811919,10.91274055,10.4284093,10.37958688,10.22107505,10.42957969,10.16318054
"CATMA3a27120",12.40061165,12.27153008,12.02351027,12.33526473,12.07814705,12.15507896,12.06628943,12.30179443,12.08902975,12.2391952,12.35619961,12.39711782,12.42265146,12.29366342,12.415736,12.24531655,12.1940012,11.9467105,12.21116089,12.0656231,11.69906006,11.89040571,12.11371631,11.88659149
"CATMA3a38645",10.41319305,10.80493403,10.78817911,10.59898888,10.61046828,10.93631596,10.69055387,10.69434182,11.17347968,11.09677996,11.26846657,11.02395197,10.98887404,10.84682249,10.79770445,10.15597108,10.6467859,10.72089626,10.65045058,10.7712428,10.39474363,10.31316549,10.86264347,10.52934884
"CATMA3a43475",8.823634898,8.660102111,8.824790675,8.883422154,8.894685256,8.952020401,8.897561685,8.619169328,8.84380251,9.121640408,8.954563622,9.188231918,9.003029833,8.844971036,8.973633043,9.015177042,9.069279655,9.034262522,8.552025041,9.093169874,9.063356037,9.096229497,9.031364558,9.301801578
"CATMA3a44060",8.085245751,7.855499235,8.073269889,8.035382035,8.033975383,8.023379991,8.264666418,7.708878058,8.312982159,8.298037637,8.334884062,7.911854867,8.25817755,8.487780393,8.459393059,8.546584527,8.133089145,8.238026973,8.213432574,8.283585342,8.404979609,8.136307265,8.392753846,8.397016805
"CATMA3a44230",8.940853735,8.697609807,9.190155978,11.49984625,12.19033675,10.88190872,11.26082834,11.54395996,10.35292388,11.91150871,10.37185909,8.70945776,8.401205983,8.873160717,8.633631926,10.27909291,10.59763613,10.73247786,10.25657974,9.013703668,9.564620101,10.6172231,10.12701388,9.674831813
"CATMA3a46940",8.295281571,8.527452232,8.252874378,9.499566689,8.736374664,10.43693659,10.74666694,11.54342158,10.63671508,11.60768712,12.02807961,10.85454159,9.775040316,9.604614228,9.466774605,9.547656809,9.677513773,9.870244376,9.754977294,9.517480287,9.530328285,9.672508255,9.981462194,10.33108133
"CATMA3a48363",9.169959621,9.262688308,9.234345577,9.47242926,9.206719086,9.259752191,9.191693784,8.959418847,8.43586993,9.009294875,9.224764269,9.542683692,8.827668997,9.169273465,9.229119384,9.205562547,9.490910504,9.085604109,8.791702321,9.515332619,9.606584646,9.119817692,9.492458701,9.849662851
"CATMA3a49380",12.98979659,12.23243653,12.33508999,12.13507991,11.99381248,12.055909,11.54525739,12.21255265,12.34856174,12.44773986,11.94111946,11.84747831,12.41499523,12.13450447,12.48189683,11.43088892,11.22383195,11.17231601,10.81247773,10.98596576,10.76011632,11.12204209,11.09211031,10.91944092
"CATMA3a52440",12.06871062,11.50756761,12.56259112,12.21217364,12.60087159,12.71162267,12.73193637,12.28540073,13.04409948,13.38654346,12.29090941,11.59748547,10.14967427,9.591031577,9.199683925,9.840893026,9.572956713,9.686111421,10.3288995,10.23420043,10.3966179,10.73766998,10.71320139,10.97684787
